file_name,field_name,pipeline_a_value,pipeline_b_value,match
batch1-0348.jpg,seller_name,miller inc,miller inc,True
batch1-0348.jpg,seller_tax_id,938-92-9047,938-92-9047,True
batch1-0348.jpg,client_name,conley-irwin,conley-irwin,True
batch1-0348.jpg,client_tax_id,997-98-1436,938-92-9047,False
batch1-0348.jpg,invoice_number,50956755,50956755,True
batch1-0348.jpg,invoice_date,2019-06-09,2019-06-09,True
batch1-0348.jpg,net_worth,30954.82,29049.84,False
batch1-0348.jpg,vat,2904.98,2904.98,True
batch1-0348.jpg,gross_worth,31954.82,31954.82,True
batch1-0349.jpg,seller_name,"hernandez, barber and jones","hernandez, barber and jones",True
batch1-0349.jpg,seller_tax_id,934-99-4537,934-99-4537,True
batch1-0349.jpg,client_name,hall-skinner,hall-skinner,True
batch1-0349.jpg,client_tax_id,944-87-7634,934-99-4537,False
batch1-0349.jpg,invoice_number,39571754,39571754,True
batch1-0349.jpg,invoice_date,2013-03-07,2013-03-07,True
batch1-0349.jpg,net_worth,6950.2,6950.2,True
batch1-0349.jpg,vat,695.02,695.02,True
batch1-0349.jpg,gross_worth,7645.22,7645.22,True
batch1-0350.jpg,seller_name,daniel-benson,daniel-benson,True
batch1-0350.jpg,seller_tax_id,991-85-2472,991-85-2472,True
batch1-0350.jpg,client_name,"mcdonald, jordan and malone","mcdonald, jordan and malone",True
batch1-0350.jpg,client_tax_id,925-92-0610,991-85-2472,False
batch1-0350.jpg,invoice_number,39077025,39077025,True
batch1-0350.jpg,invoice_date,,,True
batch1-0350.jpg,net_worth,3546.94,,False
batch1-0350.jpg,vat,10.0,,False
batch1-0350.jpg,gross_worth,3901.63,3901.63,True
